enterprise_id,patent_name,patent_desc,patent_type,patent_time
003dfac725d94fa6b1e27073d7564114,一种*****向盘套,本实用新型涉及一**********手机，成本低廉。,2,2013/5/7
003dfac725d94fa6b1e27073d7564114,一种************后视镜,本实用新型提供一**********方便，结构简单。,2,2013/4/23
003dfac725d94fa6b1e27073d7564114,车载*************证方法,本发明涉及车载导**********操作方便等优点。,1,2013/12/24
003dfac725d94fa6b1e27073d7564114,汽车*************后视镜,本发明涉及一种汽**********池组的使用寿命。,1,2014/5/13
003dfac725d94fa6b1e27073d7564114,汽车*************后视镜,本实用新型涉及一**********池组的使用寿命。,2,2013/4/23
003dfac725d94fa6b1e27073d7564114,汽车*************后视镜,本发明涉及一种汽**********池组的使用寿命。,1,2017/5/30
003dfac725d94fa6b1e27073d7564114,车载********************证方法,本发明涉及车载导**********操作方便等优点。,1,2013/12/24
003dfac725d94fa6b1e27073d7564114,一种**********互系统,本实用新型提供一**********在基座上的型腔。,2,2015/1/27
003dfac725d94fa6b1e27073d7564114,车队***************航系统,本发明涉及一种车**********队导航较为方便。,1,2014/5/6
003dfac725d94fa6b1e27073d7564114,车载********************证方法,本发明涉及车载导**********操作方便等优点。,1,2016/3/29
003dfac725d94fa6b1e27073d7564114,车载************航系统,本发明涉及车载导**********操作方便等优点。,1,2013/12/24
0074550cb3a54f97b3eae9ed8f423a9f,图像****及装置,本发明实施例提供**********高图像分割效果。,1,2016/11/8
00c5d47619354f3183c5955adf66dedd,一种******检查井,本实用新型一种河**********便于加装延长套。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,一种****胶装置,本实用新型公开了**********高了胶液的性能。,2,2016/12/6
00c5d47619354f3183c5955adf66dedd,一种**通信井,本实用新型一种电**********件，增加密封性。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,一种**收集沟,本发明公开一种垃**********简单，安装方便。,1,2016/7/26
00c5d47619354f3183c5955adf66dedd,一种*****沼气池,本实用新型一种组**********高废料的利用率。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,一种**水表井,本实用新型一种塑**********加井体的密闭性。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,一种**检查井,本实用新型为一种**********泥槽，便于清掏。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,化粪*****割装置,本实用新型公开了**********降低了人工成本。,2,2016/11/29
00c5d47619354f3183c5955adf66dedd,一种***集装置,本实用新型一种雨**********水净化无需动力。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,一种****检查井,本实用新型一种偏**********于调节偏心方向。,2,2015/9/22
00c5d47619354f3183c5955adf66dedd,化粪*****割装置,本发明公开了一种**********降低了人工成本。,1,2016/8/2
00c5d47619354f3183c5955adf66dedd,高分****料水渠,本发明涉及水渠；**********比高，经济性好。,1,2015/5/5
00e6816b651d4fd59627be67cb827b1b,成衣******夹装置,本发明为成衣吊挂**********便，且不易出错。,1,2017/7/17
00e6816b651d4fd59627be67cb827b1b,智能***********制方法,本发明实施例涉及**********大提升生产效率。,1,2018/1/8
00e6816b651d4fd59627be67cb827b1b,吊挂***********挂设备,本实用新型涉及智**********而提高工作效率。,2,2018/3/1
00e6816b651d4fd59627be67cb827b1b,一种***送装置,本发明提供了一种**********代化生产的需要。,1,2017/6/29
00e6816b651d4fd59627be67cb827b1b,服装**线系统,本发明涉及一种服**********线的智能化程度。,1,2018/6/11
00e6816b651d4fd59627be67cb827b1b,流水******示装置,流水线实时数据显**********高团队的凝聚力。,1,2017/7/6
00e6816b651d4fd59627be67cb827b1b,吊挂****停装置,本发明提供一种吊**********生产设备的作用。,1,2018/6/11
00e6816b651d4fd59627be67cb827b1b,智能*****************挂系统,本实用新型涉及智**********轨道的布置需求。,2,2018/4/19
00e6816b651d4fd59627be67cb827b1b,转***装置,本实用新型公开了**********，操作更加灵活。,2,2018/4/26
00e6816b651d4fd59627be67cb827b1b,**设备,本实用新型实施例**********和降低人工成本。,2,2018/3/1
00e6816b651d4fd59627be67cb827b1b,循环***线系统,本发明采用一种循**********提升了工作效率。,1,2018/6/11
00e6816b651d4fd59627be67cb827b1b,一种*********护装置,本发明涉及一种成**********简单，便于制造。,1,2018/6/11
00e6816b651d4fd59627be67cb827b1b,智***系统,本实用新型涉及智**********作人员人身安全。,2,2018/3/1
00e6816b651d4fd59627be67cb827b1b,一种***************位装置,本实用新型涉及一**********位，可靠性较好。,2,2013/4/30
00e6816b651d4fd59627be67cb827b1b,一种*****的改进,本实用新型涉及一**********壁的可靠性更好。,2,2013/4/30
00e6816b651d4fd59627be67cb827b1b,一种********降机构,本实用新型涉及一**********提升了传送效率。,2,2014/5/20
00e6816b651d4fd59627be67cb827b1b,成衣**********的改进,本实用新型涉及一**********构简单安装方便。,2,2013/1/8
00e6816b651d4fd59627be67cb827b1b,一种************站导轨,本实用新型涉及一**********衣架的堆积问题。,2,2014/4/8
00e6816b651d4fd59627be67cb827b1b,一种********夹装置,本发明涉及一种成**********不易出错的特点。,1,2012/7/24
00e6816b651d4fd59627be67cb827b1b,一种*******线系统,本实用新型涉及一**********力提高生产效率。,2,2012/11/27
00e6816b651d4fd59627be67cb827b1b,一种**********理装置,本实用新型涉及一**********时的取样的影响。,2,2012/10/2
00e6816b651d4fd59627be67cb827b1b,一种*******线系统,本发明涉及一种循**********力提高生产效率。,1,2012/7/24
