enterprise_id,case_time,case_type,case_prop
a3f0e6c03d35407c91b78715d989139f,2016/10/21,2,
a3f0e6c03d35407c91b78715d989139f,2017/3/21,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
bdf17c8eb7cd46089f91470e4f779b7b,2016/6/11,2,
6f31d083b07a4ecaa600afd2ba4844e4,2017/6/29,2,
bb7ef9971e6d45c9a61fc2287d307875,2016/8/12,2,
f9e815c69ffe49b08af08a4beb1262c6,2015/7/30,5,
f9e815c69ffe49b08af08a4beb1262c6,2015/7/30,5,
f9e815c69ffe49b08af08a4beb1262c6,2015/8/31,5,
f9e815c69ffe49b08af08a4beb1262c6,2017/6/30,2,
f9e815c69ffe49b08af08a4beb1262c6,2015/8/31,5,
f9e815c69ffe49b08af08a4beb1262c6,2017/4/10,2,
f9e815c69ffe49b08af08a4beb1262c6,2015/7/30,5,
f9e815c69ffe49b08af08a4beb1262c6,2016/2/24,5,
f9e815c69ffe49b08af08a4beb1262c6,2015/8/31,5,
f9e815c69ffe49b08af08a4beb1262c6,2015/12/25,5,
f9e815c69ffe49b08af08a4beb1262c6,2017/5/4,2,
f9e815c69ffe49b08af08a4beb1262c6,2016/5/20,5,
f9e815c69ffe49b08af08a4beb1262c6,2017/4/10,2,
f9e815c69ffe49b08af08a4beb1262c6,2017/4/24,2,
f9e815c69ffe49b08af08a4beb1262c6,2016/9/22,5,
f9e815c69ffe49b08af08a4beb1262c6,2017/4/11,2,
d73e8fabdd514fa18b079cef674414b9,2017/4/12,2,
d73e8fabdd514fa18b079cef674414b9,2016/12/28,2,
b3460ecbd58044918a3bb3548f39d212,2016/6/2,2,
b3460ecbd58044918a3bb3548f39d212,2014/10/9,2,
a757499adc3144f5bc325ffdb6df0d96,2016/9/28,5,
a757499adc3144f5bc325ffdb6df0d96,2016/8/30,2,
a757499adc3144f5bc325ffdb6df0d96,2016/11/22,5,
a757499adc3144f5bc325ffdb6df0d96,2017/6/29,2,
a67305799d9f45feba7b1d5e3258ac48,2016/1/11,2,
a67305799d9f45feba7b1d5e3258ac48,2016/1/11,2,
a67305799d9f45feba7b1d5e3258ac48,2016/6/10,5,
a67305799d9f45feba7b1d5e3258ac48,2016/7/20,5,
384b1529d6184fa9b23acc8112355ef9,2017/1/10,2,
8f688d21dabf4d68b3cadc45aeb35182,2017/6/23,2,
8f688d21dabf4d68b3cadc45aeb35182,2017/4/19,2,
8f688d21dabf4d68b3cadc45aeb35182,2017/5/31,2,
8f688d21dabf4d68b3cadc45aeb35182,2017/5/24,2,
8f688d21dabf4d68b3cadc45aeb35182,2017/2/27,2,
faa86d92613940e09e35c5a6315eb7d2,2017/1/3,1,
129c320f65c14b339db17508486887c0,2015/6/30,1,
3395046e21154de2b7f91b62d5dc58bf,2017/2/4,2,
3395046e21154de2b7f91b62d5dc58bf,2017/2/4,2,
3395046e21154de2b7f91b62d5dc58bf,2016/12/16,2,
3395046e21154de2b7f91b62d5dc58bf,2016/12/16,2,
1887b4bfd5d54977b4ca4a963e653d66,2015/7/30,2,
1887b4bfd5d54977b4ca4a963e653d66,2015/11/18,2,
1887b4bfd5d54977b4ca4a963e653d66,2016/9/22,2,
1887b4bfd5d54977b4ca4a963e653d66,2014/8/27,2,
1887b4bfd5d54977b4ca4a963e653d66,2014/11/28,2,
1887b4bfd5d54977b4ca4a963e653d66,2012/11/5,2,
827c36c7835f401aa63ec0d45feef3e6,2015/10/22,2,
827c36c7835f401aa63ec0d45feef3e6,2016/2/2,2,
13b1c5d029904839aa12c3495f700478,2016/12/29,2,
13b1c5d029904839aa12c3495f700478,2016/12/29,2,
13b1c5d029904839aa12c3495f700478,2016/12/29,2,
4e53ee717cc949bc9b1eec59ac006d81,2016/3/14,2,
4e53ee717cc949bc9b1eec59ac006d81,2016/5/27,2,
4e53ee717cc949bc9b1eec59ac006d81,2016/11/28,5,
